,TotalCoinsMined,TotalCoinSupply
0,-0.11674788218135108,-0.1528646803346603
1,-0.09358885145311023,-0.14499604069706817
2,0.5258723062274735,4.493763595508499
3,-0.11635442029638662,-0.15255407673512664
4,-0.11438444678352847,-0.15286468095586875
5,-0.11536430774308988,-0.15162226407290025
6,-0.11654966567995537,-0.15253928605794842
7,-0.11637035512892488,-0.15286468095586875
8,-0.11425988223758446,-0.14975863874844747
9,-0.11658584095013273,-0.15255407673512664
10,-0.05657633754931816,-0.09960980500344951
11,0.13359401392656364,0.15773953978625965
12,-0.11671959536345351,-0.15253928605794842
13,-0.11648461138678878,-0.1526797974911413
14,-0.11662128114591098,-0.15255407673512664
15,-0.11618727956441885,-0.14768794394349996
16,-0.11650317050156582,-0.15256886741230483
17,-0.11647999223163803,-0.15191807761646417
18,-0.11634985679146585,-0.1526166622431893
19,-0.10280169965905643,-0.15286468095586875
20,-0.07969434534547273,-0.12328332659947558
21,-0.11674788117174933,5.5267553554716216
22,-0.11301226402664574,-0.15035328922747868
23,-0.11391790746224337,-0.1491670116613196
24,-0.11658639538461398,-0.1513856132380491
25,-0.1140469201716628,-0.15286468095586875
26,-0.11105116342337926,-0.1492113836928542
27,-0.11566039857861417,-0.15162226407290025
28,-0.11601388167456206,-0.15215227319890373
29,-0.11674694857552236,-0.15285728561727965
30,-0.11658942063448739,-0.15255407673512664
31,-0.11672507673493679,-0.15284989027869056
32,-0.11664464309808505,-0.15267033145774725
33,-0.11663821003877976,-0.1525984487666612
34,0.7611657429147287,0.43876240617199486
35,-0.11667535672775332,-0.15279989778982825
36,0.23287094125963342,0.09199497972917581
37,0.29529777751560093,0.15773953978625965
38,0.1584564427080245,0.04680946094978522
39,-0.11628894321541525,-0.15255407673512664
40,-0.11194411727164491,-0.1484305474891327
41,-0.11631997071514064,-0.15239137928616647
42,-0.11662322583446309,-0.15286468095586875
43,-0.10661171324916122,-0.15286468095586875
44,-0.11672280259835122,-0.15269849567295118
45,-0.11216804679199709,-0.1478950134239947
46,-0.09734322957603103,-0.13185290275895228
47,-0.11530650860188539,-0.151829333553395
48,-0.1158335656734233,-0.15179611812965593
49,-0.1147886665350394,-0.15108979969448516
50,-0.07990798913551204,-0.15286468095586875
51,1.871633401979889,1.1871706713887424
52,-0.11636048362976492,-0.15253928605794842
53,-0.11628501740066265,-0.15255407673512664
54,-0.11342393399408585,-0.14893892758669008
55,-0.11632371210159967,-0.15256886741230483
56,-0.11672364513035362,-0.1528447135416782
57,-0.11539928027534548,-0.1513856132380491
58,-0.11591052903029063,-0.1522434725143845
59,-0.11586049109081444,-0.14990654552022945
60,0.35060783094529335,-0.15286468095586875
61,-0.11662049333057693,-0.1527167741840868
62,-0.08132766315342883,-0.11708307472637557
63,-0.11639276701746361,-0.15262536779912553
64,-0.11529741394862997,-0.15286468095586875
65,-0.06481783335037661,0.0689954767170801
66,-0.11642445092236536,-0.15255407673512664
67,-0.10940173790602552,-0.1478802227468165
68,-0.11641523361153508,-0.15286468095586875
69,-0.11667719752549524,-0.15280892010290695
70,-0.11186059850020683,-0.1466525965410262
